sentence,category
"Auxílio-Doença Previdenciário, Benefícios em Espécie e Direito Previdenciário.",orgão público
"PAGAR TODAS AS CONTAS EM ATRASO R$1.290,90.",finanças
Então encontraremos na próxima aula.,educação
Veja os resultados da categoria de ofertas do novo modelo Nissan Kicks.,indústrias
"Além disso, a embalagem é reutilizável e 100% reciclável.","indústrias,varejo"
Na EAD Educação a distância você tem autonomia para organizar os seus estudos.,educação
Veja as condições de compra.,varejo
"Pensão por Morte (Art. 74/9), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",orgão público
"A primeira agência foi aberta em 2 de janeiro de 1945, localizada na então sede do banco.",finanças
Valor das parcelas,"finanças,varejo"
Lojas de sapatos.,varejo
Seu carrinho de compras ainda está vazio.,varejo
"Sale até 50% OFF mais creme de mãos por R$9,90 nas compras acima de R$129,90.",varejo
A BRK Ambiental é responsável pela gestão dos serviços de esgoto em Rio das Ostras.,indústrias
TRIBUNAL REGIONAL DO TRABALHO DA 15ª REGIÃO EDITAL 01/2020 Período de inscrições: 12/01/2020 até 12/10/2020. Inscrições abertas.,orgão público
Como saber o limite do cartão de crédito e o valor disponível para compra?,finanças
"Temos ofertas e promoções imperdíveis, sempre com meus conteúdos para te ajudar na escolha de seu interesse.",varejo
"OBS.: se houver alguma das pendências informadas acima, gentileza regularizar antes de enviar o TCC.",educação
"Se a resposta dos alunos for positiva, o professor deverá aprofundar a reflexão inicial complementando com outras perguntas.",educação
FÓRUM II: FONÉTICA E FONOLOGIA DO PORTUGUÊS.,educação
"Conheça mais dos prazos, editais e documentos necessários para este Processo Seletivo.",educação
Por 18x de R$ 79.90,varejo
"Novo Cruze 2020, o carro sedan médio da Chevrolet.",indústrias
"Vem aí o novo SUVW, adquira o seu!",varejo
Ciências Humanas e suas Tecnologias.,educação
POT volta às aulas: mães contratadas pela Prefeitura iniciam atividades nesta segunda-feira 01.,"educação,orgão público"
Juntada de certidão - requisição de pagamento preparada para transmissão.,orgão público
Você pode transferir uma parte do limite do seu cheque especial LIS para o seu cartão de crédito.,finanças
"As  marcas BMW, CHEVROLET, RENAULT, VOLKSWAGEN, CITROEN, HONDA, FIAT, PEUGEOT e HYUNDAI. Todas estarão no de automóvel em São Paulo.",indústrias
Banco com apoio porta-copos do novo Tracker 2022.,indústrias
Em dezembro de 2013 os ativos totais do banco totalizaram 1.105 trilhão.,finanças
LIBRAS: Língua Brasileira de Sinais — USP GRATUITO,educação
Sua compra pode ser dividida em 15 ou 24 parcelas iguais. ,"finanças,varejo"
Cursos em SSI NR 11 - Segurança na Operação de Empilhadeira de Pequeno Porte,"educação,indústrias"
5 anos de Bacharelado.,educação
O capital financeiro seria a união do capital bancário ou monetário com o capital industrial,finanças
Pague a primeira parcela em 2022 ou parcelas de R$ 999 no Nissan Replay.,"finanças,indústrias"
"Ajuda no planejamento financeiro, incentiva a disciplina e o hábito de investir.",finanças
Aula 1 - Introdução ao Windows e ao Word. ,educação
Microondas Consul 32 Litros na cor branca com função descongelar.  ,varejo
Justiça Federal em Passo Fundo (RS) condena quadrilha especializada em falsificação de dinheiro,orgão público
A nova carteira compreende 380 empresas que somam US $ 14 trilhões em valor de mercado.,finanças
"GESTÃO DA LOGÍSTICA, SUPRIMENTO E INFRAESTRUTURA.",indústrias
Para ingresso de alunos.,educação
Desenvolver nos alunos o respeito pelo corpo (o próprio e o do outro).,educação
Apresentação - Disciplina Online,educação
Anos Iniciais do Ensino Fundamental.,educação
Você consegue fazer suas compras em 12x no cartão.,"finanças,varejo"
ACOMPANHAMENTO DE SOLDAGEM E ENSAIO VISUAL E DIMENSIONAL.,indústrias
"1 vaga disponível para assistente de logística, GP LOGISTICA E TRANSPORTES EIRELI, Inscrições de 28/01/2021 até 02/02/2021. ",indústrias
Nesta seção estão disponíveis as orientações relativas a formulação das Metas Nacionais.,orgão público
Você pode aumentar ou diminuir o limite do cartão adicional quantas vezes quiser.,finanças
Manter os serviços do seu Nissan em dia é muito importante para garantir o bom funcionamento do seu veículo.,indústrias
"Feijão Preto marca Combrasil de R$ 19,98 por R$ 18,90.",varejo
A Prefeitura de Indaiatuba lamenta profundamente as mortes e presta suas sinceras condolências aos amigos e familiares.,orgão público
Apresentamos a você a trilha de aprendizagem da disciplina de Empreendedorismo.,educação
 Temos preços especiais e retirada na loja.,varejo
Declaração Eletrônica de Serviços de Instituições Financeiras DES-IF.,"finanças,orgão público"
"Este produto é vendido e entregue por Olist. A Americanas garante a sua compra, do pedido à entrega.",varejo
Aprofundamento do que já foi aprendido e um avanço no conhecimento.,educação
"Valor Boleto R$ 888,00 no cartão de crédito em até  10X R$ 88,80. ",varejo
Esses pagamentos são efetuados de acordo com os critérios de cada empresa.,finanças
Educação Especial 120 Horas.,educação
"Escolas Municipais de Educação Infantil (EMEIs), que atendem crianças de 4 a 5 anos e 11 meses.",educação
programa de aprendizagem,educação
Como faço para concorrer às vagas de estágio e ou aprendizagem?,educação
"Pagar com cartão de crédito, imprimir fatura ou enviar fatura por e-mail.","finanças,varejo"
Etapa Educação Infantil,educação
Inspetor de qualidade,indústrias
Segunda via de Infração de trânsito.,orgão público
Linha de produção.,indústrias
"Edital do Vestibular 2021, primeiro semestre.",educação
Os preços podem variar conforme a forma de pagamento e opção de fidelização.,finanças
"Arte, Ciências, Educação Física, Educação Infantil, Geografia, História, Língua Portuguesa e Matemática.",educação
Informações sobre o produto.,varejo
Bolsa da Prefeitura Municipal de Criciúma (PMC).,orgão público
Atualize suas definições de esportividade com o Novo Onix RS,indústrias
"Prefeitura supera a marca de 2,5 milhões de marmitex entregues às famílias parnaibanas.",orgão público
Peça já o seu cartão.,"finanças,varejo"
Egressos de Fisioterapia da UNESC assumem como secretários de saúde.,"educação,orgão público"
Escolha a sua cor do seu automóvel e ative sua atitude.,indústrias
Faça o download do catálogo dos nossos carros.,indústrias
Carro hatch da Chevrolet Joy 2021. ,"varejo,indústrias"
A gente aumenta o seu limite automaticamente quando um novo valor estiver disponível.,finanças
Passo a passo da adoção no Portal CNJ,orgão público
HISTÓRIA DOS CARTÓRIOS.,orgão público
"A voltagem do seu produto escolhido é 110V, agora selecione a cor.",varejo
"Além do dinheiro do Estado, a Poli recebe investimentos de parcerias com a iniciativa privada.",finanças
Tenho ciência que os documentos descritos acima devem ser enviados online para efetivação da matrícula.,educação
Compre no site e retire na loja.,varejo
"Máquina de lavar Consul 14Kg branca, com ciclo de lavagem para edredom.",varejo
Bombom Lacta pacote 40g.,varejo
"Secretaria de Governo promove Webinar da Câmara Ítalo-Brasileira de comércio, indústria e agricultura.",orgão público
Suas compras  podem ser parceladas em até 12x sem juros no cartão.,"finanças,varejo"
Selecione o tipo do assento que você gostaria de adicionar ao carrinho.,varejo
Confirmada a citação eletrônica,orgão público
Novo Onix 2022 hatch com Wi-Fi cor Branco Summit.,indústrias
PROJETO DE LEI Nº 365/2020,orgão público
Agência Nacional de Saúde Suplementar (ANS),orgão público
Cada trabalho acadêmico deve ser organizado dentro de suas normas específicas. Aqui você encontra tutoriais para configurar o seu trabalho.,educação
"Lojas de alimentos, supermercados ou pequenos armazéns mais próximos da sua casa.",varejo
A prova presencial será realizada na unidade da Estácio - Salgado Filho,educação
"Verificação de segurança. Por favor, marque o campo abaixo para confirmar sua compra.",varejo
Banco Nacional de Dados de Demandas Repetitivas e Precedentes Obrigatórios (BNPR) Justiça em Números.,"finanças,orgão público"
"Digite o nome da rua, bairro ou CEP para buscar revendas mais próximo de você.",varejo
Selecione: Pessoa Jurídica ou Pessoa Física.,orgão público
Formação para o ensino híbrido.,educação
"Dinheiro sem pesar tanto no bolso, já que você pode contar com planos",finanças
Conheça a Nissan Intelligent e compare com outros modelos de carros.,indústrias
Novo Tracker 2022 com alerta de colisão frontal.,indústrias
Acompanhe as ações da SPTrans que contribuem para a promoção da cidadania.,orgão público
Cursos de férias disponíveis.,educação
Conselho Nacional de Justiça - CNJ,orgão público
"Setor Único - Inteira R$ 390,00 Lote 7",varejo
Portal de Atendimento Prefeitura de São Paulo.,orgão público
Para que serve a previdência social?,orgão público
"Excelência em processos e produtos, através do envolvimento e da valorização das pessoas.",indústrias
PROGRAMA DE GOVERNO PAULO SERRA,orgão público
Governo do Estado anuncia retorno à fase vermelha do Plano São Paulo em 09/04/2021.,orgão público
O dinheiro que sobra cada mês pode te ajudar a fazer aquela viagem nas férias.,finanças
O GEI é um índice de referência e não deve ser usado como benchmark financeiro.,finanças
Data de autuação,orgão público
"Introdução aos Conceitos de Jurisdição e Processo, Princípios Processuais, Jurisdição Material","educação,orgão público"
O Novo Renault ZOE E-TECH vem equipado com tecnologias que vão muito além do seu motor elétrico.,indústrias
Cursos gratuitos e rápidos por webconferência com a qualidade e o reconhecimento ESPM.,educação
SECRETÁRIA MUNICIPAL DE ENGENHARIA.,orgão público
Saiba mais sobre o curso e faça sua inscrição.,educação
É só ir ao caixa eletrônico do Itaú mais próximo com o seu cartão da conta corrente,finanças
"O documento deve ser oficial e de fé pública, no formato original ou cópia autenticada.",orgão público
"Negócios, editais, cadastro de licitações e Fornecedores.",orgão público
PREFEITURA DE SÃO JOSÉ DOS CAMPOS Edital 01/2020 Ver detalhes,orgão público
Agradecemos sua inscrição e pedimos que se atente ao prazo para realização da prova.,educação
A fábrica se transforma em uma empresa com projeção internacional.,indústrias
Clientes tem até domingo para aproveitar condições especiais de negociação na Mega Blue Friday da BRK Ambiental.,indústrias
"Carros Ofertas Serviços, Acessórios Vendas e Financiamento  Volkswagen. Fale Conosco, busca de concessionária.",varejo
Requisição para localizar códigos de produtos de ATA.,orgão público
"O estudante deve estudar sozinho, sem contato com colegas e tutores, pois somente assim terá concentração.",educação
Superintendência de Infraestrutura e Serviços Urbanos.,orgão público
Chocolate 60% cacau café Lacta Intense pacote 85g.,varejo
TIPOS DE DOCUMENTOS: POLÍTICAS INTERNAS.,orgão público
Escolha a forma de pagamento e depois clique em continuar.,varejo
Recall de segurança Chevrolet dos airbags Takata dos modelos Celta e Classic.,indústrias
"GESTÃO DA LOGÍSTICA, SUPRIMENTO E INFRAESTRUTURA",indústrias
Compre o desodorante aerossol.,varejo
Acompanhe o que acontece na traseira do carro enquanto você visualiza tudo na tela de 8” do Chevrolet MyLink.,indústrias
Planeje a vida com tranquilidade: proteja seu futuro financeiro e garanta estabilidade para quem você ama.,finanças
Cadastro Nacional de Adoção (CNA) - Portal CNJ.,orgão público
Aqui você encontra perguntas frequentes sobre os produtos da loja.,varejo
Conheça todos os meios disponíveis para pagamento da sua conta de energia,varejo
"Para finalizar a compra, informe seu e-mail. ",varejo
Central de Atendimento ao Público em presencial.,orgão público
O Itaú Unibanco divulga resultados segundo as práticas contábeis adotadas pelo Banco Central.,finanças
Caso você ainda esteja cursando inclua o Mês e o Ano de conclusão previsto para o término do curso.,educação
IPTU - Imposto Predial e Territorial Urbano.,"finanças,orgão público"
Extrato de débitos,finanças
"Pós-graduação, mais de 60 cursos.",educação
"Neste artigo, vídeo ""De onde vêm nossos lápis"", Galeria de fotos e Imagens de fábrica.",indústrias
Mais vendido: Ecolapis de Cor 12 Cores + 2 Bicolor.,varejo
Educação Infantil - Anos Iniciais e Psicopedagogia. 760 horas. Tempo restante: 14 Meses.,educação
Início das aulas: 28 de Janeiro de 2021.,educação
Professores da rede municipal ganham mais opções para progredir na carreira.,"educação,orgão público"
"A emissão do documento não pode ser realizada, consulte o motivo.",orgão público
Santo André economiza R$ 750 mil com plataforma digital de emissão de alvarás,orgão público
"Suco pronto Integral marca Pouso alto de laranja, 1 Litro por R$ 9,29.","finanças,varejo"
Redação do Vestibular,educação
Sistema autônomo de frenagem de emergência anti-colisão frontal (até 50 km/h),indústrias
Carro Onix Plus 2022,indústrias
PREFEITURA DE SÃO JOSÉ DOS CAMPOS Edital 01/2020,orgão público
Gestão da Justiça,orgão público
Conheça a Nissan e adquira seu automóvel em uma de nossas concessionárias.,"indústrias,varejo"
"Em 2016, a carteira de ativos do Itaú atingiu 1,43 trilhão de reais, a maior do país.",finanças
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,orgão público
Câmbio automático CVT Xtronic.,indústrias
Instituto Nacional de Seguro Social – INSS,orgão público
Você só pagará a tarifa por este serviço uma vez por mês.,finanças
Atualize suas definições de esportividade com o Novo Onix RS.,indústrias
"As contas ITAÚ Fácil agora são Poupança ITAÚ Fácil, com nova numeração e rendimento mensal.",finanças
SUV Chevrolet Equinox 2021 Branco,indústrias
Documentação Trabalhadores da indústria e construção civil.,"indústrias,orgão público"
"Suco Pronto sem adição de açúcar Del Valle 100% Uva garrafa 1,5 Litros",varejo
Visite o portal Câmara dos Vereadores de São Paulo.,orgão público
"Francês, Inscrições abertas.",educação
"Curso Técnico em Qualidade 24x R$ 131,25.",educação
Material de Aula - Slides,educação
"Valor Boleto R$ 888,00 no cartão de crédito em até  10X R$ 88,80. ",varejo
"Forma de pagamento Pix R$ 3.479,10 por 1x. Informações adicionais.",finanças
Núcleo de Estudos em Marketing e Pesquisa de Opinião.,educação
O QUE É NECESSÁRIO PARA SE UTILIZAR A GARANTIA ANTICORROSÃO?,indústrias
Coelho de chocolate ao leite Belga Friedel 60g.,varejo
Processo Eletrônico - E-Proc,orgão público
A Lei Federal Nº 12.527/2011 garante ao cidadão o direito constitucional de acesso às informações públicas.,orgão público
"Estar cursando: Engenharias, Direito, Administração de Empresas, Psicologia, Marketing, Publicidade, Relações Internacionais, Economia, Contabilidade, entre outros.",educação
Os alunos são beneficiados em projetos educacionais.,educação
"Não é necessário justificar o pedido de revisão, basta o estudante indicar o número da questão que considera como incorreta.",educação
Li e aceito as condições legais e a política de privacidade do InfoJobs.,orgão público
"MATRICULE-SE, Capacitação 120 horas 2x R$ R$ 50,00.",educação
"Iniciativas de professores, alunos, colaboradores e parceiros fizeram a diferença na vida de muitas pessoas em 2020.",educação
"Materiais para se aprofundar nas leituras, bons estudos.",educação
Secretaria de Diversidades e Políticas de Ações Afirmativas.,orgão público
Você pode acessar site o serviço “Remoção de entulho em via pública”.,orgão público
Selecione Informações e serviços nos postos de atendimento da Secretária Municipal de Fazenda.,orgão público
Com esse instrumento é possível se proteger de movimentos desfavoráveis da taxa de câmbio.,finanças
Programa de Estágio Yara 2021 - Cultivando Experiências Nível: Estágio.  ,educação
Carro Nissan Frontier X-Gear no campo ou na cidade.,indústrias
"PREFEITURA DE JUNDIAÍ, CORONAVÍRUS, CALENDÁRIO DE VACINAÇÃO COVID-19, GRUPOS VACINADOS.",orgão público
Formas de estudo.,educação
Veja como parcelar cartão de crédito e escolher a melhor opção para o seu bolso.,finanças
A Prova será composta por 10 questões objetivas valendo 1 ponto cada.,educação
Projeto interdisciplinar I: Construção legislativa e formação de jurisprudência.,"educação,orgão público"
"Corrigir, gratuitamente, eventuais falhas em componentes do veículo, garantindo a sua segurança e a de terceiros.",indústrias
"Para se enquadrar nesta categoria é necessário apresentar o comprovante de produtor rural, o ITR – Imposto sobre propriedade Territorial Rural.",orgão público
TUBO DE COMBUSTÍVEL,indústrias
Consulte seus débitos.,varejo
Governo do Estado de SP.,orgão público
Revisão de Norma de Proteção de Dados.,orgão público
Guias de Recolhimento Tributos.,orgão público
"Reconhecer a evolução histórico-filosófica da Ciência, contextualizando o conceito de Método Científico e a aplicação da Metodologia Científica.",educação
Explore nossos modelos de carros na hora de sua compra.,"indústrias,varejo"
Cláusula anticorrupção - Instrução Normativa Conjunta CGE/SEA Nº 01/2020,orgão público
Inscrições para processo seletivo da AGU serão encerradas neste domingo,educação
Quem sofre mais com os impostos: o consumidor ou o empresário? Justifique.,orgão público
Requisitos de segurança do carro Camaro Chevrolet.,indústrias
PREFEITURA MUNICIPAL DE ILHABELA Edital 01/2021 Período de inscrições: 04/01/2021 até 13/01/2021. INSCREVA-SE,orgão público
Santana de Parnaíba se mantêm como a cidade mais segura do Estado de SP.,orgão público
Processo de Gilmar Gomes de Andrade em pauta de julgamento.,orgão público
Informe o seu CEP para proporcionarmos uma melhor experiência de compra.,varejo
"Relação das inscrições preliminarmente homologada, edital n. 432/2020 Emitido em 21 de janeiro de 2021 por Reitoria.",orgão público
"Sua cesta está vazia, aproveite pra adicionar os produtos queridinhos da nossa loja.",varejo
Sandro Ressler inicia 2021 o trabalho na Secretaria Municipal de Saúde de Içara com metas traçadas.,orgão público
Aula 2: Planejamento de Projetos.,educação
Design bruto e bonito ao mesmo tempo: este é o novo DUSTER.,indústrias
"Ovo de Páscoa ao Leite Lacta 170g por R$ 29,90. Aguarde, alterar CEP e comprar na loja mais próxima.","finanças,varejo"
AUXILIAR DE MONTAGEM - CABREÚVA/SP tem 2 VAGAS disponíveis. Inscrições de 23/02/2021 até 01/03/2021 mais detalhes ver em candidatar-se.,indústrias
Carro Spin Activ a partir de R$ 107.690,indústrias
Estojo em Madeira Coleção Magnus: 30 Cores + kit Especial.,varejo
"A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.",educação
Seu carro com farol de neblina em LED com luz de conversão estática.,indústrias
"Concessão, Pedidos Genéricos Relativos aos Benefícios em Espécie ou DIREITO PREVIDENCIÁRIO",orgão público
O treinamento de hoje foi super importante e necessário aprender sobre imposto desde o primário.,"educação,orgão público"
Auditoria de custos - pós-graduação.,"educação,finanças"
"Vitaliciedade, após dois anos de exercício, não podendo perder o cargo senão por sentença judicial transitada em julgado.",orgão público
Edital Relativo a Audiência Pública Eletrônica Nº. 002/2020: LOA - Lei Orçamentária Anual para o exercício de 2021.,orgão público
Resolva os testes dentro do tempo total.,educação
Vara de Várzea Grande (MT) realiza primeira audiência do Juízo 100% Digital.,orgão público
Instrutor de curso,educação
"Atender clientes, manter a limpeza da loja, marcar peças vendidas. Receberá o prêmio de melhor atendente da loja.",varejo
Termos e Condições deste contrato.,orgão público
"Curso de bioquímica, aula teórica no primeiro período e inscrições abertas.",educação
A união entre os dois bancos foi aprovada pelo CADE em 18 de agosto de 2010.,finanças
Inscrição pela internet para o próximo semestre.,educação
Quais as orientações que devem ser observadas para a melhor preservação da carroceria do veículo?,indústrias
"Agende um Test Drive, Encontre uma Concessionária mais próxima de você.","indústrias,varejo"
"BRK Ambiental doa R$ 2,5 milhões ao IAS em apoio a projeto de capacitação na retomada das aulas presenciais.","educação,indústrias"
Apreensão da CNH.,orgão público
"Quantidade de Parcelas, selecione.",finanças
"MINISTÉRIO PÚBLICO DO ESTADO DE SÃO PAULO - MPSP, EDITAL 01/2020 Período de inscrições: 05/01/2021 até 11/01/2021. INSCREVA-SE",orgão público
O Brasil dispõe de um dos mais modernos sistemas bancários privados do mundo.,finanças
Banco de Medidas Protetivas será realidade no país - Portal CNJ,orgão público
"A gente trabalha os perigos. Existem vários tipos de perigos: em várias etapas, ocorrem falhas no processo.",indústrias
Documentação Trabalhadores da Limpeza Urbana.,orgão público
SENAI - Aprendizagem Industrial de Assistente de Produção.,"educação,indústrias"
Dentro de todos os padrões estabelecidos nos nossos manuais de boas práticas é o melhor.,indústrias
Anunciado novos secretários para a gestão 2021-2024.,orgão público
